Sentence #,Word,Tag
1,Vidya,B-PER
1,Prakash,I-PER
1,(+91),O
1,7.91E+09,O
1,vidya4031@gmail.com,O
1,{Total:,O
1,2,O
1,0.4,O
1,years,O
1,},O
1,Professional,O
1,History,O
1,Syngenta,B-ORG
1,.,O
1,Projects:,O
1,1,O
1,Sybot,B-ORG
1,Access,I-ORG
1,All,O
1,internal,O
1,user,O
1,will,O
1,get,O
1,this,O
1,Chatbot,B-SKILL
1,.,O
1,Role:,O
1,Â·,O
1,Working,O
1,as,O
1,a,O
1,Java,B-ROLE
1,Developer,I-ROLE
1,and,O
1,PowerShell,B-ROLE
1,Scripter.,I-ROLE
1,Â·,O
1,Create,O
1,Rule,O
1,and,O
1,Task,O
1,for,O
1,this.,O
1,2,O
1,Manager,O
1,Org,O
1,View,O
1,All,O
1,Manager,O
1,will,O
1,see,O
1,his,O
1,indirect,O
1,and,O
1,direct,O
1,reports.,O
1,Using,O
1,SailPoint,B-SKILL
1,Functionality,O
1,I,O
1,implemented,O
1,it.,O
1,3,O
1,DL,O
1,Management,O
1,All,O
1,User,O
1,can,O
1,add,O
1,and,O
1,remove,O
1,request,O
1,from,O
1,SailPoint,B-SKILL
1,and,O
1,one,O
1,Self,O
1,developed,O
1,portal.,O
1,Professional,O
1,History,O
1,Confluxsys,B-ORG
1,Private,I-ORG
1,Ltd.,I-ORG
1,Projects:,O
1,1,O
1,Custom,O
1,Connector,O
1,i,O
1,n,O
1,SailPoint,B-SKILL
1,Custom,O
1,Connector,O
1,to,O
1,connect,O
1,to,O
1,an,O
1,application,O
1,for,O
1,which,O
1,IdentityIQ,B-SKILL
1,does,O
1,not,O
1,have,O
1,a,O
1,built,O
1,in,O
1,connector.,O
1,Unless,O
1,direct,O
1,provisioning,O
1,is,O
1,required,O
1,custom,O
1,connectors,O
1,are,O
1,seldom,O
1,necessary,O
1,because,O
1,user,O
1,data,O
1,is,O
1,generally,O
1,available,O
1,through,O
1,extracts,O
1,reports,O
1,databa,O
1,data,O
1,from,O
1,delimited,O
1,file,O
1,extracts,O
1,database,B-SKILL
1,connections,I-SKILL
1,(JDBC),B-SKILL
1,and,O
1,SOAP,B-SKILL
1,just,O
1,to,O
1,name,O
1,a,O
1,few.,O
1,Even,O
1,in,O
1,cases,O
1,where,O
1,the,O
1,data,O
1,extract,O
1,is,O
1,not,O
1,in,O
1,a,O
1,readily,O
1,digestible,O
1,format,O
1,rules,O
1,provided,O
1,wit,O
1,h,O
1,these,O
1,available,O
1,connectors,O
1,can,O
1,parse,O
1,or,O
1,otherwise,O
1,pre,O
1,process,O
1,the,O
1,data,O
1,to,O
1,prepare,O
1,it,O
1,for,O
1,recording,O
1,in,O
1,IdentityIQ;,B-SKILL
1,the,O
1,developer,O
1,writing,O
1,the,O
1,rules,O
1,must,O
1,of,O
1,course,O
1,be,O
1,familiar,O
1,with,O
1,file,O
1,parsing,O
1,in,O
1,Java.,B-SKILL
1,However,O
1,when,O
1,provisioning,O
1,is,O
1,required,O
1,or,O
1,if,O
1,these,O
1,built,O
1,in,O
1,features,O
1,do,O
1,not,O
1,meet,O
1,the,O
1,business,O
1,need,O
1,writing,O
1,a,O
1,custom,O
1,connector,O
1,using,O
1,the,O
1,open,O
1,connector,O
1,framework,O
1,is,O
1,a,O
1,good,O
1,option.,O
1,Role:,O
1,Â·,O
1,Working,O
1,as,O
1,a,O
1,Java,B-ROLE
1,Developer,I-ROLE
1,Â·,O
1,Used,O
1,Maven,B-SKILL
1,Project.,O
1,Â·,O
1,Write,O
1,Method,O
1,for,O
1,required,O
1,feature,O
1,s,O
1,Â·,O
1,Package,B-SKILL
1,Jar,I-SKILL
1,and,O
1,deployed,O
1,at,O
1,SailPoint,B-SKILL
1,Server,O
1,Â·,O
1,Create,O
1,.xhtml,B-SKILL
1,and,O
1,.xml,B-SKILL
1,for,O
1,that,O
1,Connector,O
1,deployed,O
1,at,O
1,SailPoint,B-SKILL
1,Server,O
1,Vidya,B-PER
1,Prakash,I-PER
1,(+91),O
1,7.91E+09,O
1,vidya4031@gmail.com,O
1,2,O
1,Role,O
1,Lifecycle,O
1,Management,O
1,Managing,O
1,lifecycle,O
1,of,O
1,Roles,O
1,in,O
1,IDM,O
1,system,O
1,using,O
1,a,O
1,portal,O
1,that,O
1,provides,O
1,a,O
1,user,O
1,friendly,O
1,view,O
1,of,O
1,the,O
1,role.,O
1,Here,O
1,the,O
1,user,O
1,can,O
1,create,O
1,update,O
1,or,O
1,delete,O
1,the,O
1,roles,O
1,in,O
1,the,O
1,IDM,O
1,system,O
1,using,O
1,our,O
1,portal.,O
1,Role:,O
1,Â·,O
1,Worked,O
1,as,O
1,a,O
1,Java,B-ROLE
1,Developer.,I-ROLE
1,Â·,O
1,Developed,O
1,Role,O
1,Assignment,O
1,using,O
1,SailPoint,B-SKILL
1,Java,B-SKILL
1,API,I-SKILL
1,Â·,O
1,Developed,O
1,Role,O
1,Sunset,O
1,and,O
1,Sunrise,O
1,using,O
1,SailPoint,B-SKILL
1,Java,B-SKILL
1,API,O
1,3,O
1,Implement,O
1,Poller,O
1,for,O
1,Certification,O
1,Portal,O
1,This,O
1,system,O
1,is,O
1,used,O
1,for,O
1,certifying,O
1,access,O
1,of,O
1,user,O
1,in,O
1,an,O
1,organization.,O
1,Certifica,O
1,tion,O
1,of,O
1,access,O
1,of,O
1,user,O
1,is,O
1,done,O
1,by,O
1,the,O
1,managers,O
1,and,O
1,then,O
1,the,O
1,resource,O
1,owner.,O
1,Poller,O
1,will,O
1,get,O
1,all,O
1,events,O
1,and,O
1,data,O
1,from,O
1,SailPoint,B-SKILL
1,to,O
1,our,O
1,Target,O
1,System.,O
1,Role:,O
1,Â·,O
1,Used,O
1,Quartz,B-SKILL
1,API,I-SKILL
1,to,O
1,schedule,O
1,Poller.,O
1,Â·,O
1,Wrote,O
1,Poller,B-SKILL
1,using,O
1,IDM,O
1,Data,O
1,connection,O
1,and,O
1,Query,O
1,in,O
1,Java.,O
1,4,O
1,SailPoint,B-SKILL
1,Custom,O
1,Task,O
1,Custom,O
1,tasks,O
1,can,O
1,be,O
1,a,O
1,powerful,O
1,way,O
1,to,O
1,extend,O
1,functionality,O
1,to,O
1,perform,O
1,certain,O
1,actions,O
1,that,O
1,the,O
1,Out,O
1,Role:,O
