Sentence #,Word,Tag
1,-2020,O
2,-2019,O
3,-2018,O
4,-2016,O
5,-92%,O
6,-81%,O
7,0,O
8,01:01,O
9,0.4,O
10,0.5,O
11,52.80%,O
12,54.50%,O
13,58%,O
14,64.50%,O
15,65.96%,O
16,67.06%,O
17,72%,O
18,79.80%,O
19,83%,O
20,85.50%,O
21,86%,O
22,100%,O
23,1,O
24,1,O
25,1,O
26,1,O
27,1,O
28,1,O
29,1,O
30,1,O
31,1,O
32,1,O
33,1.1,O
34,1.67,O
35,2,O
36,2,O
37,2,O
38,2,O
39,2,O
40,2,O
41,2,O
42,2,O
43,2,O
44,2,O
45,2,O
46,2,O
47,2,O
48,2,O
49,2,O
50,2,O
51,2,O
52,2,O
53,2,O
54,2.2,O
55,3,O
56,3,O
57,3,O
58,3,O
59,3,O
60,3,O
61,3,O
62,3,O
63,3,O
64,3,O
65,3,O
66,3,O
67,3,O
68,4,O
69,4,O
70,4,O
71,4,O
72,4,O
73,4.3,O
74,4.3,O
75,4.6,O
76,5,O
77,5,O
78,5,O
79,5,O
80,5,O
81,5,O
82,5,O
83,5,O
84,5,O
85,6,O
86,6,O
87,6,O
88,6,O
89,6,O
90,6,O
91,6,O
92,6,O
93,6.1,O
94,6.2,O
95,6.2,O
96,6.3,I-SKILL
97,6.4,O
98,6.4,O
99,6.4,O
100,6.7,O
101,7,O
102,7,O
103,7,O
104,7,O
105,7,O
106,7,O
107,7,O
108,7,O
109,7,O
110,7,O
111,7,O
112,7,O
113,7,O
114,7,O
115,7,O
116,7,I-SKILL
117,7,O
118,7.1,O
119,7.2,O
120,7.2,I-SKILL
121,7.3,O
122,8,O
123,8,O
124,8.1,O
125,8.3,O
126,9,O
127,9,O
128,9,I-SKILL
129,9,O
130,9,O
131,9.4,O
132,9.8,O
133,10,O
134,10,O
135,10,O
136,10,O
137,10,O
138,11,O
139,12,O
140,12,O
141,12,O
142,13,O
143,15,O
144,18,O
145,20,O
146,20,O
147,20,O
148,24,O
149,27,O
150,28,O
151,70,I-SKILL
152,75,O
153,77,O
154,86.2,O
155,91,O
156,91,O
157,91,O
158,91,O
159,100,O
160,126,O
161,365,O
162,365,O
163,733,O
164,902,B-LOC
165,908,O
166,1500,O
167,1632,O
168,1989,O
169,1989,O
170,1991,O
171,1992,O
172,1993,O
173,1995,O
174,2003,O
175,2004,O
176,2005,O
177,2005,O
178,2005,O
179,2006,O
180,2006,O
181,2007,O
182,2008,O
183,2008,O
184,2008,O
185,2008,O
186,2008,O
187,2008,O
188,2008,O
189,2008,O
190,2008,O
191,2008,O
192,2008,O
193,2008,O
194,2008,O
195,2008,O
196,2008,O
197,2009,O
198,2009,O
199,2009,O
200,2009,O
201,2009,O
202,2010,O
203,2010,O
204,2010,O
205,2010,O
206,2010,O
207,2010,O
208,2010,O
209,2010,O
210,2011,O
211,2011,O
212,2011,O
213,2011,O
214,2011,O
215,2011,O
216,2011,O
217,2011,O
218,2011,O
219,2011,O
220,2012,O
221,2012,O
222,2012,O
223,2013,O
224,2013,O
225,2013,O
226,2013,O
227,2013,O
228,2013,O
229,2013,O
230,2013,O
231,2013,O
232,2014,O
233,2014,O
234,2014,O
235,2014,O
236,2014,O
237,2014,O
238,2015,O
239,2015,O
240,2015,O
241,2015,O
242,2015,O
243,2015,O
244,2015,O
245,2015,O
246,2015,O
247,2015,O
248,2015,O
249,2015,O
250,2015,O
251,2015,O
252,2016,O
253,2016,O
254,2016,O
255,2016,O
256,2016,O
257,2016,O
258,2016,O
259,2017,O
260,2017,O
261,2017,O
262,2017,O
263,2017,O
264,2017,O
265,2017,O
266,2017,O
267,2017,O
268,2017,O
269,2017,O
270,2017,O
271,2017,O
272,2018,O
273,2018,O
274,2018,O
275,2018,O
276,2018,O
277,2018,O
278,2018,O
279,2018,O
280,2018,O
281,2018,O
282,2018,O
283,2018,O
284,2018,O
285,2018,O
286,2019,O
287,2019,O
288,2019,O
289,2019,O
290,2019,O
291,2019,O
292,2019,O
293,2019,O
294,2019,O
295,2019,O
296,2019,O
297,2019,O
298,2019,O
299,2020,O
300,2020,O
301,2020,O
302,2020,O
303,2020,O
304,2020,O
305,2020,O
306,2020,O
307,2020,O
308,2020,O
309,2020,O
310,2020,O
311,2020,O
312,2020,O
313,2500,O
314,2637,B-LOC
315,5099,O
316,36012,O
317,Jan-11,O
318,Sep-13,O
319,Feb-15,O
320,Dec-16,O
321,Jul-18,O
322,Jul-18,O
323,10-Oct,O
324,79888,O
325,110016,O
326,110045,O
327,125055,O
328,125055,I-LOC
329,146123,O
330,201307,I-LOC
331,560100,O
332,7.01E+09,O
333,7.03E+09,O
334,7.20E+09,O
335,7.73E+09,O
336,7.91E+09,O
337,7.91E+09,O
338,7.91E+09,O
339,7.91E+09,O
340,7.91E+09,O
341,8.09E+09,O
342,9.03E+09,O
343,9.31E+09,O
344,9.48E+09,O
345,9.82E+09,O
346,9.18E+11,O
347,#14/1,O
348,#4,O
349,#698,O
350,#97,O
351,#97,B-LOC
352,%,O
353,&,O
354,&,O
355,&,O
356,&,I-SKILL
357,&,O
358,&,O
359,&,O
360,&,O
361,&,O
362,&,O
363,&,O
364,&,O
365,&,O
366,&,O
367,&,O
368,&,O
369,&,O
370,&,O
371,&,O
372,&,O
373,&,O
374,&,I-SKILL
375,&,O
376,&,O
377,&,O
378,&,O
379,&,O
380,&,O
381,&,O
382,&,O
383,&,O
384,&,O
385,&,O
386,&,O
387,&,O
388,&,O
389,&,O
390,&,O
391,&,O
392,&,O
393,&,O
394,&,O
395,&,O
396,&,O
397,&,O
398,&,O
399,&,O
400,&,O
401,&,I-ORG
402,&,O
403,&,O
404,&,O
405,&,O
406,&,O
407,&,O
408,&,O
409,&,O
410,&,O
411,&,O
412,&,O
413,&,O
414,(,O
415,(,O
416,(,O
417,(,O
418,(,O
419,(,O
420,(,O
421,(,O
422,(,O
423,(,O
424,(,O
425,(,O
426,(,O
427,(,O
428,(,O
429,(,O
430,(,O
431,"(""OOTB"")",O
432,"(""OOTB"")",O
433,(+63),O
434,(+91),O
435,(+91),O
436,(+91),O
437,(+91),O
438,(+91),O
439,(+91),O
440,(+91),O
441,(06,O
442,(10,O
443,(10+2),O
444,(16th,O
445,(1st,O
446,(1st,O
447,(2,O
448,(2009,O
449,(3,O
450,(6.1,O
451,(85%).,O
452,(86%).,O
453,(89%).,O
454,(93%).,O
455,(A,O
456,(â€œRBACâ€),O
457,(AASHISH,O
458,(Abdul,O
459,(Access,O
460,(Active,O
461,(Active,O
462,(Active,O
463,(Add,O
464,(Add,O
465,(ANZ).,B-ORG
466,(APMG,O
467,(Application,O
468,(Associate,O
469,(B.E),O
470,(B.E),O
471,(Band,O
472,(Bank,O
473,(BBM),O
474,(BIT),O
475,(Business,O
476,(C#,O
477,(C#,B-SKILL
478,(CAB),O
479,(Certified),O
480,(Change,O
481,(Change,O
482,(Collection,O
483,(Computer,O
484,(Computer,O
485,(Core,I-SKILL
486,(CSE),O
487,(D.A.V.V.),O
488,(Data,B-SKILL
489,(December,O
490,(Defects).,O
491,(Delhi),O
492,(Delhi),O
493,(DelimitedFileConnector/ParseRule/JDBC),B-SKILL
494,(Deloitte),O
495,(Deployment,O
496,(Employee/Contractor),O
497,(employees,O
498,(EY,O
499,(February,O
500,(FNB),O
501,(For,O
502,(For,O
503,(Forefront,O
504,(From,O
505,(From,O
506,(Green/Blue,O
507,(Haryana),I-LOC
508,(I.T),O
509,(IAM,O
510,(IAM),I-SKILL
511,(IAM),O
512,(IAM),O
513,(IAM),O
514,(IAM).,O
515,(IDAM),O
516,(IDAM),O
517,(Identity,O
518,(Identity,O
519,(Identity,O
520,(Identity,O
521,(Identity,O
522,(Incident,O
523,(Information,O
524,(IOC,B-SKILL
525,(IT,O
526,(J2EE),I-SKILL
527,(JDBC),O
528,(Joiner,O
529,(June,O
530,(LDAP,O
531,(Leader,O
532,(Leader,O
533,(MAAC/MAEC),O
534,(March,O
535,(MCA),O
536,(MCA),O
537,(Microsoft,B-SKILL
538,(minor/Major),O
539,(Oct,O
540,(Offices,O
541,(Online,O
542,(P1,O
543,(P1),O
544,(PALM/FIM),O
545,(partners,O
546,(Payroll,O
547,(Payroll,O
548,(Personal,O
549,(PHIL.),I-ORG
550,(PHP,B-SKILL
551,(Privilege,O
552,(R/W/S),O
553,(RACF,O
554,(RBAC),O
555,(Role,O
556,(Role,O
557,(Role,O
558,(SailPoint,B-SKILL
559,(SailPoint,O
560,(SailPoint,O
561,(SailPoint,O
562,(SailPoint,O
563,(SailPoint,O
564,(SAML/open,O
565,(SDLC),O
566,(Security,O
567,(Simeio,O
568,(Simeio,O
569,(Simplilearn),O
570,(SIT,O
571,(SLA),B-SKILL
572,(SOD,O
573,(SOP).,O
574,(SOW).,O
575,(TCS),B-ORG
576,(Technical,O
577,(Technical,B-ROLE
578,(Technical,O
579,(Tivoli,O
580,(Tivoli,O
581,(Transfer,O
582,(Transfer,O
583,(UAT),O
584,(Use,O
585,(Using,O
586,(VERNACULAR,O
587,(Visual,O
588,(Windows,O
589,),O
590,),O
591,),O
592,),O
593,),O
594,),O
595,),O
596,),O
597,),O
598,),O
599,),O
600,),O
601,),O
602,),O
603,)Remediation,O
604,.,O
605,.,O
606,.,O
607,.,O
608,.,O
609,.,O
610,.,O
611,.,O
612,.,O
613,.,O
614,.,O
615,.,O
616,.,O
617,.,O
618,.,O
619,.,O
620,.,O
621,.,O
622,.,O
623,.,O
624,.,O
625,.,O
626,.,O
